"","4-methoxy-benzaldehyde","chrysene-d","d-anthraquinone","d-C10 acid, TMS","d-C15 alcohol, TMS","d-C22 acid, TMS","d-C6diacid","d-cholestane","d-cholesterol","d-pyrene","dC14","dC16","dC18","dC20","dC22","dC24","dC26","dC28","dC30","dC32","dC34","dC36","dibenzanthracene-d","glucose-13C6","methoxyphenol-d3","pentaerythritol-C13","perylene-d"
"4-methoxy-benzaldehyde",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1
"chrysene-d",1,1,0.961471685070152,0.519412611589223,0.760480271738272,0.845424637690063,0.555093008335597,0.944607927801017,0.840799517983891,0.97308779475591,0.634475588416178,0.642741340225334,0.818987232539582,0.915742731710289,0.933051946713906,0.947955503885961,0.947974385717706,0.893684463862418,0.823700788751493,0.862001214449316,0.784190393895183,0.80546013440108,0.689298011460695,0.542841933293018,0.639689521249821,0.665246760645191,0.80719321334984
"d-anthraquinone",1,0.961471685070152,1,0.481148314324039,0.780042626229156,0.789143855867269,0.564512928574736,0.927107928968702,0.768464199599201,0.97783341451613,0.660513907532563,0.633278263017083,0.823618866321279,0.941541081830741,0.945619328277228,0.955534985425508,0.939436332022317,0.899401690894292,0.783485112633982,0.84056272655397,0.763583646135029,0.774767447983621,0.548722447586867,0.523044055094127,0.6572007965345,0.657547477287752,0.759548093399649
"d-C10 acid, TMS",1,0.519412611589223,0.481148314324039,1,0.722127694567969,0.495244545745554,0.504439494726633,0.568143896205979,0.545514258660016,0.512317536993135,0.567466379376866,0.822903128398017,0.774352607813936,0.607035789073245,0.5932788929274,0.592406354841826,0.593230196120789,0.4981487337708,0.491332391613184,0.567577101052912,0.477051873793862,0.549386995929226,0.0233201597342105,0.284987863578043,0.322843867350532,0.849747902824175,0.428355683387466
"d-C15 alcohol, TMS",1,0.760480271738272,0.780042626229156,0.722127694567969,1,0.661630865715685,0.454203156443043,0.813428099177416,0.692647693289054,0.79805425287418,0.451474944887366,0.729658120920362,0.878481116558262,0.888125949391329,0.864911854561495,0.864960314668676,0.838468351685697,0.792659945561662,0.712678788861715,0.804946885695474,0.722835298926668,0.7675927979339,-0.0845437567874675,0.335221930635977,0.408234942562301,0.786202580409763,0.562502377541732
"d-C22 acid, TMS",1,0.845424637690063,0.789143855867269,0.495244545745554,0.661630865715685,1,0.492427572530611,0.858197956132029,0.956645727664367,0.80544959895269,0.542272290259973,0.644864749122554,0.767073817157343,0.751976577959355,0.793812587811821,0.82628590744308,0.834038196834689,0.864135351322835,0.734294278675551,0.79629191346165,0.745914682653927,0.725561237841976,0.470811533986584,0.527319718082238,0.397869071262493,0.613606568938292,0.685876752396013
"d-C6diacid",1,0.555093008335597,0.564512928574736,0.504439494726633,0.454203156443043,0.492427572530611,1,0.550279396382489,0.520855698944085,0.576134265510985,0.534683369401711,0.452341537979288,0.62012977823174,0.595864216678668,0.607071891700733,0.578802304448088,0.61974985611569,0.591340205689561,0.53428828005528,0.598259368447263,0.551276613404361,0.546816780074757,0.233994917843985,0.204094833180478,0.421437234592113,0.764437458761861,0.531750988249248
"d-cholestane",1,0.944607927801017,0.927107928968702,0.568143896205979,0.813428099177416,0.858197956132029,0.550279396382489,1,0.883657832976837,0.919635978432817,0.60121245552227,0.671718665873142,0.845520067909297,0.922288496614411,0.911044674514242,0.961528707779138,0.93391788510985,0.941924546950501,0.831428342364982,0.862021312223193,0.816808893685709,0.814384955616597,0.60698402932212,0.477650837087624,0.670408305093742,0.69539836335642,0.841791838694967
"d-cholesterol",1,0.840799517983891,0.768464199599201,0.545514258660016,0.692647693289054,0.956645727664367,0.520855698944085,0.883657832976837,1,0.799404903287889,0.528704385083342,0.663736193390949,0.794273700989689,0.759888028656877,0.799015837925139,0.830851453795031,0.844646576271855,0.853062386845556,0.769328835165833,0.833387366966678,0.788729478567568,0.777259151576824,0.478388697689343,0.396309834849149,0.399992715204625,0.641215347999481,0.796130568775565
"d-pyrene",1,0.97308779475591,0.97783341451613,0.512317536993135,0.79805425287418,0.80544959895269,0.576134265510985,0.919635978432817,0.799404903287889,1,0.639998452526851,0.669513514007024,0.858349098838544,0.953775861652327,0.969159886889878,0.958767567939883,0.962997635679692,0.896785721165947,0.800591539824729,0.87759189096024,0.782944416707589,0.807182286024243,0.54857931974002,0.488295756044722,0.638655156603928,0.668912423639951,0.766488799620084
"dC14",1,0.634475588416178,0.660513907532563,0.567466379376866,0.451474944887366,0.542272290259973,0.534683369401711,0.60121245552227,0.528704385083342,0.639998452526851,1,0.73772975081941,0.639810673516334,0.567555073169089,0.596864263325356,0.583950045265586,0.581818357225251,0.519599303388493,0.434410952212686,0.485170890711705,0.401727149365676,0.394497199915564,0.387181574521349,0.560623256157892,0.4532220833201,0.552523927454334,0.554003206993137
"dC16",1,0.642741340225334,0.633278263017083,0.822903128398017,0.729658120920362,0.644864749122554,0.452341537979288,0.671718665873142,0.663736193390949,0.669513514007024,0.73772975081941,1,0.893602691895825,0.704720790003283,0.734886646181942,0.709892725026405,0.704949293276075,0.615856203314425,0.485130350067723,0.635713746766157,0.504433446830243,0.547257473596616,0.0771777164560415,0.386341851147443,0.364544600223992,0.722514701468668,0.487106632512389
"dC18",1,0.818987232539582,0.823618866321279,0.774352607813936,0.878481116558262,0.767073817157343,0.62012977823174,0.845520067909297,0.794273700989689,0.858349098838544,0.639810673516334,0.893602691895825,1,0.914730461118824,0.927954399739893,0.908420887699102,0.904073373520114,0.8200523813813,0.697468756099259,0.845925935846936,0.719750258626227,0.76609047134723,0.149718697657456,0.366772069807681,0.570202237427545,0.822810371302643,0.623829553758836
"dC20",1,0.915742731710289,0.941541081830741,0.607035789073245,0.888125949391329,0.751976577959355,0.595864216678668,0.922288496614411,0.759888028656877,0.953775861652327,0.567555073169089,0.704720790003283,0.914730461118824,1,0.980045873913646,0.980589261391011,0.96247383662976,0.913478938147379,0.803954047710963,0.894767105271247,0.80637770188061,0.840500348441022,0.361578210550312,0.407502819455646,0.646608647139521,0.74742393079922,0.703875965057817
"dC22",1,0.933051946713906,0.945619328277228,0.5932788929274,0.864911854561495,0.793812587811821,0.607071891700733,0.911044674514242,0.799015837925139,0.969159886889878,0.596864263325356,0.734886646181942,0.927954399739893,0.980045873913646,1,0.978980134625786,0.971954342323285,0.906715075881059,0.775870209587334,0.895944273595377,0.780740592340724,0.818711152646864,0.467472366640463,0.422191911305838,0.645836972859871,0.734628859484633,0.696543556618765
"dC24",1,0.947955503885961,0.955534985425508,0.592406354841826,0.864960314668676,0.82628590744308,0.578802304448088,0.961528707779138,0.830851453795031,0.958767567939883,0.583950045265586,0.709892725026405,0.908420887699102,0.980589261391011,0.978980134625786,1,0.96934874764515,0.939199752681147,0.810184302862281,0.897101976223563,0.812234214998287,0.836962985699504,0.580002817540231,0.461394763263761,0.675799080553078,0.72773102508689,0.737236367360464
"dC26",1,0.947974385717706,0.939436332022317,0.593230196120789,0.838468351685697,0.834038196834689,0.61974985611569,0.93391788510985,0.844646576271855,0.962997635679692,0.581818357225251,0.704949293276075,0.904073373520114,0.96247383662976,0.971954342323285,0.96934874764515,1,0.92415152236602,0.831453714690416,0.922147063968415,0.834474688964369,0.866318100209394,0.497528493002447,0.47351457214861,0.625095532386482,0.758173601470418,0.759690301867709
"dC28",1,0.893684463862418,0.899401690894292,0.4981487337708,0.792659945561662,0.864135351322835,0.591340205689561,0.941924546950501,0.853062386845556,0.896785721165947,0.519599303388493,0.615856203314425,0.8200523813813,0.913478938147379,0.906715075881059,0.939199752681147,0.92415152236602,1,0.862204888269282,0.913748008180535,0.8806263486305,0.862030411211146,0.390801085398454,0.487131547589266,0.554732386079891,0.690078446896428,0.739551570726965
"dC30",1,0.823700788751493,0.783485112633982,0.491332391613184,0.712678788861715,0.734294278675551,0.53428828005528,0.831428342364982,0.769328835165833,0.800591539824729,0.434410952212686,0.485130350067723,0.697468756099259,0.803954047710963,0.775870209587334,0.810184302862281,0.831453714690416,0.862204888269282,1,0.941223739488694,0.966320138308802,0.955573547634902,0.229429153097484,0.510380585124111,0.360765191865009,0.653973578469827,0.711830401168106
"dC32",1,0.862001214449316,0.84056272655397,0.567577101052912,0.804946885695474,0.79629191346165,0.598259368447263,0.862021312223193,0.833387366966678,0.87759189096024,0.485170890711705,0.635713746766157,0.845925935846936,0.894767105271247,0.895944273595377,0.897101976223563,0.922147063968415,0.913748008180535,0.941223739488694,1,0.959155512322796,0.969428209611578,0.225489449590595,0.44761916704998,0.395618539015988,0.720934022182197,0.705728732754041
"dC34",1,0.784190393895183,0.763583646135029,0.477051873793862,0.722835298926668,0.745914682653927,0.551276613404361,0.816808893685709,0.788729478567568,0.782944416707589,0.401727149365676,0.504433446830243,0.719750258626227,0.80637770188061,0.780740592340724,0.812234214998287,0.834474688964369,0.8806263486305,0.966320138308802,0.959155512322796,1,0.979571807157353,0.244267712698894,0.438122591662517,0.299126255193113,0.661187541303274,0.694412233150938
"dC36",1,0.80546013440108,0.774767447983621,0.549386995929226,0.7675927979339,0.725561237841976,0.546816780074757,0.814384955616597,0.777259151576824,0.807182286024243,0.394497199915564,0.547257473596616,0.76609047134723,0.840500348441022,0.818711152646864,0.836962985699504,0.866318100209394,0.862030411211146,0.955573547634902,0.969428209611578,0.979571807157353,1,0.192313748610542,0.42332029101301,0.280830661197802,0.703786424333671,0.684631332946895
"dibenzanthracene-d",NA,0.689298011460695,0.548722447586867,0.0233201597342105,-0.0845437567874675,0.470811533986584,0.233994917843985,0.60698402932212,0.478388697689343,0.54857931974002,0.387181574521349,0.0771777164560415,0.149718697657456,0.361578210550312,0.467472366640463,0.580002817540231,0.497528493002447,0.390801085398454,0.229429153097484,0.225489449590595,0.244267712698894,0.192313748610542,1,0.220226156203536,0.128095177845191,0.141957598814222,0.61743597312862
"glucose-13C6",1,0.542841933293018,0.523044055094127,0.284987863578043,0.335221930635977,0.527319718082238,0.204094833180478,0.477650837087624,0.396309834849149,0.488295756044722,0.560623256157892,0.386341851147443,0.366772069807681,0.407502819455646,0.422191911305838,0.461394763263761,0.47351457214861,0.487131547589266,0.510380585124111,0.44761916704998,0.438122591662517,0.42332029101301,0.220226156203536,1,0.251229208857155,0.35194234921558,0.234952740413874
