"","4-methoxy-benzaldehyde","chrysene-d","d-anthraquinone","d-C10 acid, TMS","d-C15 alcohol, TMS","d-C22 acid, TMS","d-C6diacid","d-cholestane","d-cholesterol","d-pyrene","dC14","dC16","dC18","dC20","dC22","dC24","dC26","dC28","dC30","dC32","dC34","dC36","dibenzanthracene-d","glucose-13C6","methoxyphenol-d3","pentaerythritol-C13","perylene-d"
"4-methoxy-benzaldehyde",1,0.660965003718665,0.673723845330183,0.700376270605891,0.743754649901954,0.685617732636591,0.367515775259266,0.766157043646172,0.69379245985894,0.705941919992606,0.495993361393024,0.749780967236581,0.822354795984846,0.75200655109729,0.785614170117843,0.781360679069961,0.73679755796149,0.70619607910416,0.529612586403351,0.660483398944636,0.534810412134058,0.584088537454608,0.0557304216150211,0.305669799778375,0.551255299587543,0.588468348446891,0.521705604199449
"chrysene-d",0.660965003718665,1,0.960004067069637,0.503783477263236,0.729173559436194,0.852823018039576,0.561807610637012,0.938067055233172,0.852709328580419,0.968711540286386,0.638184795949592,0.633663514353777,0.806404629266529,0.89660848480507,0.918220107195401,0.948389362550558,0.945349650164221,0.920492760996737,0.821331447281758,0.851621757951726,0.777804388635937,0.795013811674517,0.734534051124535,0.550883364824091,0.677398030801125,0.651427473958316,0.806422587205327
"d-anthraquinone",0.673723845330183,0.960004067069637,1,0.485174688649135,0.769211320734534,0.786603268526292,0.582060745005792,0.927778786828897,0.775575783023022,0.978683955828223,0.661303250949141,0.633271144305511,0.824855729297596,0.939667078550705,0.944610002683183,0.962832701393262,0.946963827211104,0.926092139829085,0.786404657501693,0.842024630850332,0.764481299225823,0.775429009946983,0.603952357009848,0.513958507651703,0.677373656582597,0.655165801877252,0.748115934779078
"d-C10 acid, TMS",0.700376270605891,0.503783477263236,0.485174688649135,1,0.718449773669039,0.509711965887781,0.521555212317505,0.569982541095132,0.541442500102956,0.51256218916915,0.567466379376866,0.822745920746701,0.774123621563342,0.602527174377816,0.600891969854732,0.582721096988111,0.595346680731982,0.514041736735449,0.476233923080938,0.567577101052912,0.477051873793862,0.549553953079095,0.0955207060841959,0.284320378507125,0.551682740675032,0.852703890184271,0.44515100364099
"d-C15 alcohol, TMS",0.743754649901954,0.729173559436194,0.769211320734534,0.718449773669039,1,0.650762921370402,0.457376017755498,0.806600104245807,0.689923993296538,0.785518570892061,0.434471979727723,0.715637892046344,0.863384929884716,0.876561776022786,0.856912037066113,0.84097764282044,0.841584495562073,0.797569179593911,0.688071703811172,0.793908476814129,0.713670770567439,0.759098187849789,0.0323512762567511,0.324442113085683,0.482519204111928,0.7724388234418,0.546725411414745
"d-C22 acid, TMS",0.685617732636591,0.852823018039576,0.786603268526292,0.509711965887781,0.650762921370402,1,0.511542794124964,0.858904618365954,0.953061192593526,0.805065544551493,0.546325469027465,0.653881447570953,0.773704112560618,0.7446037809597,0.795291618596727,0.836933633779285,0.826563545208396,0.869198725636817,0.73603668578137,0.795384322219225,0.740591752443691,0.722264037160988,0.524841259624235,0.518326100685512,0.474093206908264,0.615917324905708,0.678961501462886
"d-C6diacid",0.367515775259266,0.561807610637012,0.582060745005792,0.521555212317505,0.457376017755498,0.511542794124964,1,0.562633703072991,0.540311604828405,0.592184691169711,0.550836776384385,0.477681791971446,0.637556557150466,0.619054549256236,0.615214499160085,0.598629377215396,0.639149070289284,0.627237212363939,0.548201659170181,0.61472201907663,0.567966741792676,0.562719719256717,0.248092193548323,0.208572689675029,0.673700922131936,0.777082269915131,0.553936555642136
"d-cholestane",0.766157043646172,0.938067055233172,0.927778786828897,0.569982541095132,0.806600104245807,0.858904618365954,0.562633703072991,1,0.884404114295999,0.920886387370694,0.599763005890261,0.67440187728873,0.847301064256248,0.918228443111069,0.913253673065333,0.961082755279624,0.938912841768586,0.961843280596593,0.831905351436152,0.86007526171711,0.813419197980339,0.810209298984181,0.651615831488346,0.468400903134276,0.641640023872304,0.691311521078259,0.828355204499155
"d-cholesterol",0.69379245985894,0.852709328580419,0.775575783023022,0.541442500102956,0.689923993296538,0.953061192593526,0.540311604828405,0.884404114295999,1,0.807815188237436,0.501151884578794,0.642394882349204,0.78810993347208,0.760010277020735,0.801827660255928,0.83766558303544,0.849372311557228,0.879503969584282,0.791286400997422,0.840185644273755,0.799091089802227,0.791051699430211,0.546829973775553,0.383080366056776,0.521673013209021,0.645796543011154,0.80325880314828
"d-pyrene",0.705941919992606,0.968711540286386,0.978683955828223,0.51256218916915,0.785518570892061,0.805065544551493,0.592184691169711,0.920886387370694,0.807815188237436,1,0.641392037236883,0.669478592008244,0.85811740500907,0.948576508216304,0.967013086880814,0.968333451823018,0.968803772552473,0.929864803771541,0.802146411044932,0.877881406600634,0.784702524798982,0.806977318125672,0.605917830521407,0.479508813658135,0.70447485364343,0.666089526057089,0.761128902306627
"dC14",0.495993361393024,0.638184795949592,0.661303250949141,0.567466379376866,0.434471979727723,0.546325469027465,0.550836776384385,0.599763005890261,0.501151884578794,0.641392037236883,1,0.736899102609423,0.638971038806253,0.557613427234593,0.594908188527176,0.592906968361021,0.577554975651068,0.548648813426823,0.435539013410578,0.485170890711705,0.401727149365676,0.393628773061521,0.45399232687379,0.559642691047676,0.638110362651197,0.544042151332498,0.558784917701615
"dC16",0.749780967236581,0.633663514353777,0.633271144305511,0.822745920746701,0.715637892046344,0.653881447570953,0.477681791971446,0.67440187728873,0.642394882349204,0.669478592008244,0.736899102609423,1,0.892555708896384,0.691942724805945,0.739962864321462,0.704460130163179,0.701965996337277,0.635199630552146,0.480432107163008,0.634222999214601,0.503132521811715,0.544990203648742,0.215843508665716,0.384367834435152,0.482035532523089,0.723843680538118,0.497575742051335
"dC18",0.822354795984846,0.806404629266529,0.824855729297596,0.774123621563342,0.863384929884716,0.773704112560618,0.637556557150466,0.847301064256248,0.78810993347208,0.85811740500907,0.638971038806253,0.892555708896384,1,0.90670685226424,0.929904184935104,0.901699563606042,0.907443611800914,0.843564501262146,0.690455933160792,0.844304123892377,0.717503902736667,0.763908190061267,0.326681997679811,0.359398931197404,0.623248958047091,0.823735743925099,0.627729924111332
"dC20",0.75200655109729,0.89660848480507,0.939667078550705,0.602527174377816,0.876561776022786,0.7446037809597,0.619054549256236,0.918228443111069,0.760010277020735,0.948576508216304,0.557613427234593,0.691942724805945,0.90670685226424,1,0.975132370568636,0.973913052096517,0.96778341626329,0.933076173115903,0.79868627849474,0.891111414793288,0.805594565482824,0.838663904643694,0.446081041069278,0.391578416767575,0.659530540006201,0.750087561499623,0.695332306566036
"dC22",0.785614170117843,0.918220107195401,0.944610002683183,0.600891969854732,0.856912037066113,0.795291618596727,0.615214499160085,0.913253673065333,0.801827660255928,0.967013086880814,0.594908188527176,0.739962864321462,0.929904184935104,0.975132370568636,1,0.982466606609848,0.978392312690278,0.927321146928604,0.775367374972024,0.895080136057144,0.778952327985588,0.817374010541858,0.498841488481835,0.41533364131509,0.663340471905918,0.730500874073404,0.688687560317793
